MGR001;MGR001MD1;MGR001;MGR003;MGR001<>MGR003_IPASO400_TELKOMSEL_150_7687
MGR001;MGR001MD1;MGR003;MGR012;MGR003<>MGR012_IPASO400_TELKOMSEL_100_7554
MGR001;MGR001MD1;MGR012;MGR011;MGR012<>MGR011_IPASO1000_TELKOMSEL_100_7526
MGR001;MGR001MD1;MGR011;TJN010;MGR011<>TJN010_IPASO1000_TELKOMSEL_150_7484
MGR001;MGR001MD1;TJN010;TJN008;TJN010<>TJN008_IPASO400_TELKOMSEL_150_7491
MGR001;MGR001MD1;TJN008;TJN012;TJN008<>TJN012_IPASO400_TELKOMSEL_150_76031
MGR001;MGR001MD1;TJN012;TJN002;TJN012<>TJN002_IPASO400_TELKOMSEL_50_12751
MGR002;MGR002MD1;MGR002;MGR004;MGR002<>MGR004_MLTN_TELKOMSEL_200_7512
MGR002;MGR002MD1;MGR004;TJN027;MGR004<>TJN027_IPASO400_TELKOMSEL_150_7603
MGR002;MGR002MD1;TJN027;TJN020;TJN027<>TJN020_IPASO400_TELKOMSEL_150_7554
MGR002;MGR002MD1;TJN020;TJN002;TJN020<>TJN002_IPASO400_TELKOMSEL_150_7498
MGR003;MGR003MD1;MGR003;MGR012;MGR003<>MGR012_IPASO400_TELKOMSEL_100_7554
MGR003;MGR003MD1;MGR012;MGR011;MGR012<>MGR011_IPASO1000_TELKOMSEL_100_7526
MGR003;MGR003MD1;MGR011;TJN010;MGR011<>TJN010_IPASO1000_TELKOMSEL_150_7484
MGR003;MGR003MD1;TJN010;TJN008;TJN010<>TJN008_IPASO400_TELKOMSEL_150_7491
MGR003;MGR003MD1;TJN008;TJN012;TJN008<>TJN012_IPASO400_TELKOMSEL_150_76031
MGR003;MGR003MD1;TJN012;TJN002;TJN012<>TJN002_IPASO400_TELKOMSEL_50_12751
MGR004;MGR004MG1;MGR004;TJN027;MGR004<>TJN027_IPASO400_TELKOMSEL_150_7603
MGR004;MGR004MG1;TJN027;TJN020;TJN027<>TJN020_IPASO400_TELKOMSEL_150_7554
MGR004;MGR004MG1;TJN020;TJN002;TJN020<>TJN002_IPASO400_TELKOMSEL_150_7498
MGR007;MGR007MG1;MGR007;MGR025;MGR007<>MGR025_IPASO1000_TELKOM_100_7742
MGR007;MGR007MG1;MGR025;MGR001;MGR025<>MGR001_IPASO400_TELKOMSEL_50_7191
MGR007;MGR007MG1;MGR001;MGR018;MGR001<>MGR018_IPASO400_TELKOMSEL_100_7491
MGR007;MGR007MG1;MGR018;MGR002;MGR018<>MGR002_MLTN_TELKOMSEL_200_7652
MGR007;MGR007MG1;MGR002;MGR004;MGR002<>MGR004_MLTN_TELKOMSEL_200_7512
MGR007;MGR007MG1;MGR004;TJN027;MGR004<>TJN027_IPASO400_TELKOMSEL_150_7603
MGR007;MGR007MG1;TJN027;TJN020;TJN027<>TJN020_IPASO400_TELKOMSEL_150_7554
MGR007;MGR007MG1;TJN020;TJN002;TJN020<>TJN002_IPASO400_TELKOMSEL_150_7498
MGR008;MGR008MG1;MGR008;MGR003;MGR008<>MGR003_IPASO400_TELKOMSEL_50_7498
MGR008;MGR008MG1;MGR003;MGR012;MGR003<>MGR012_IPASO400_TELKOMSEL_100_7554
MGR008;MGR008MG1;MGR012;MGR011;MGR012<>MGR011_IPASO1000_TELKOMSEL_100_7526
MGR008;MGR008MG1;MGR011;TJN010;MGR011<>TJN010_IPASO1000_TELKOMSEL_150_7484
MGR008;MGR008MG1;TJN010;TJN008;TJN010<>TJN008_IPASO400_TELKOMSEL_150_7491
MGR008;MGR008MG1;TJN008;TJN012;TJN008<>TJN012_IPASO400_TELKOMSEL_150_76031
MGR008;MGR008MG1;TJN012;TJN002;TJN012<>TJN002_IPASO400_TELKOMSEL_50_12751
MGR009;MGR009MG1;MGR009;MGR011;MGR009<>MGR011_IPASO200_TELKOM_50_7247
MGR009;MGR009MG1;MGR011;TJN010;MGR011<>TJN010_IPASO1000_TELKOMSEL_150_7484
MGR009;MGR009MG1;TJN010;TJN008;TJN010<>TJN008_IPASO400_TELKOMSEL_150_7491
MGR009;MGR009MG1;TJN008;TJN012;TJN008<>TJN012_IPASO400_TELKOMSEL_150_76031
MGR009;MGR009MG1;TJN012;TJN002;TJN012<>TJN002_IPASO400_TELKOMSEL_50_12751
MGR010;MGR010MG1;MGR010;MGR001;MGR010<>MGR001_IPASO400_TELKOMSEL_50_7470
MGR010;MGR010MG1;MGR001;MGR003;MGR001<>MGR003_IPASO400_TELKOMSEL_150_7687
MGR010;MGR010MG1;MGR003;MGR012;MGR003<>MGR012_IPASO400_TELKOMSEL_100_7554
MGR010;MGR010MG1;MGR012;MGR011;MGR012<>MGR011_IPASO1000_TELKOMSEL_100_7526
MGR010;MGR010MG1;MGR011;TJN010;MGR011<>TJN010_IPASO1000_TELKOMSEL_150_7484
MGR010;MGR010MG1;TJN010;TJN008;TJN010<>TJN008_IPASO400_TELKOMSEL_150_7491
MGR010;MGR010MG1;TJN008;TJN012;TJN008<>TJN012_IPASO400_TELKOMSEL_150_76031
MGR010;MGR010MG1;TJN012;TJN002;TJN012<>TJN002_IPASO400_TELKOMSEL_50_12751
MGR011;MGR011MG1;MGR011;TJN010;MGR011<>TJN010_IPASO1000_TELKOMSEL_150_7484
MGR011;MGR011MG1;TJN010;TJN008;TJN010<>TJN008_IPASO400_TELKOMSEL_150_7491
MGR011;MGR011MG1;TJN008;TJN012;TJN008<>TJN012_IPASO400_TELKOMSEL_150_76031
