SITE_ID,SysID,SiteName,NE_ID,NE_Name,FE_ID,FE_Name,HOP_ID_ DETAIL
MGR001,MGR001MD1,Manggar,MGR001,Manggar,MGR004,Gantung,MGR001<>MGR003_IPASO400_TELKOMSEL_150_7687
MGR001,MGR001MD1,Manggar,MGR004,Tanjung Batu Itam,MGR014,Dendang Belitung,MGR012<>MGR011_IPASO1000_TELKOMSEL_100_7526
MGR001,MGR001MD1,Manggar,MGR014,Dendang Belitung,TJN010,Membalong,MGR011<>TJN010_IPASO1000_TELKOMSEL_150_7484
MGR001,MGR001MD1,Manggar,TJN010,Membalong,TJN009,Pangkal Dudat Rep,TJN010<>TJN008_IPASO400_TELKOMSEL_150_7491
