SITE_ID,SysID,SiteName,NE_ID,NE_Name,FE_ID,FE_Name,HOP_ID_ DETAIL
TJN010,TJN010MG1,Membalong,TJN010,Membalong,TJN008,Pangkal Dudat Rep,TJN010<>TJN008_IPASO400_TELKOMSEL_150_7491
TJN010,TJN010MG1,Membalong,TJN008,Pangkal Dudat Rep,TJN012,Tanjung Pandan 3,TJN008<>TJN012_IPASO400_TELKOMSEL_150_7603
TJN011,TJN011MG1,Membalong,TJN012,Tanjung Pandan 3,TJN002,Tanjung Pandan II,TJN012<>TJN002_IPASO400_Telkom_50_12751
TJN011,TJN011MG1,Sijuk,TJN011,Sijuk,TJN004,Bukit Brahu,TJN011<>TJN004_IPASO400_TELKOMSEL_50_7955.25
TJN011,TJN011MG1,Sijuk,TJN004,Bukit Brahu,TJN002,Tanjung Pandan II,TJN004<>TJN002_IPASO400_TELKOMSEL_150_7687
TJN012,TJN012MD1,Tanjung Pandan 3,TJN012,Tanjung Pandan 3,TJN002,Tanjung Pandan II,TJN012<>TJN002_MetroE_Telkom_150_GPON(821)
TJN013,TJN013MG1,Lassar,TJN013,Lassar,TJN008,Pangkal dudat rep,TJN013<>TJN008_Ipaso1000_TELKOM_100_7442.00
TJN013,TJN013MG1,Lassar,TJN008,Pangkal Dudat Rep,TJN012,Tanjung Pandan 3,TJN008<>TJN012_IPASO400_Telkomsel_150_7603.00
TJN013,TJN013MG1,Lassar,TJN012,Tanjung Pandan 3,TJN002,Tanjung Pandan II,TJN012<>TJN002_IPASO400_TELKOM_150_12751.00
TJN014,TJN014MG1,Pulau Nasik,TJN014,Pulau Nasik,TJN012,Tanjung Pandan 3,TJN014<>TJN012_MLTN_TELKOMSEL_100_7296
TJN014,TJN014MG1,Pulau Nasik,TJN012,Tanjung Pandan 3,TJN002,Tanjung Pandan II,TJN012<>TJN002_IPASO400_Telkom_50_12751
TJN015,TJN015MG1,Simpang Rusa,TJN015,Simpang Rusa,TJN008,Pangkal dudat rep,TJN008<>TJN015<>TJN008_Ipaso1000_Telkom_100_7554
TJN015,TJN015MG1,Simpang Rusa,TJN008,Pangkal Dudat Rep,TJN012,Tanjung Pandan 3,TJN012<>TJN008<>TJN012_IPASO400_TELKOMSEL_150_7603
TJN015,TJN015MG1,Simpang Rusa,TJN012,Tanjung Pandan 3,TJN002,Tanjung Pandan II,TJN012<>TJN002_IPASO400_TELKOM_150_12751.00
TJN016,TJN016MG1,Pelepat Putih,TJN016,Pelepat Putih,TJN011,Sijuk,TJN016<>TJN011_IPASO400_TELKOMSEL_150_7732.875
TJN016,TJN016MG1,Pelepat Putih,TJN011,Sijuk,TJN004,Bukit Brahu,TJN011<>TJN004_IPASO400_TELKOMSEL_50_7955.25
TJN016,TJN016MG1,Pelepat Putih,TJN004,Bukit Brahu,TJN002,Tanjung Pandan II,TJN004<>TJN002_IPASO400_TELKOMSEL_50_7687
TJN019,TJN019MG1,Buluh Tumbang,TJN019,Buluh Tumbang,TJN002,Tanjung Pandan II,TJN019<>TJN002_MetroE_Telkom_150_GPON(829)
TJN020,TJN020MG1,Sungai Samak,TJN020,Sungai Samak,TJN002,Tanjung Pandan II,TJN020<>TJN002_IPASO400_TELKOMSEL_150_7498
TJN021,TJN021MG1,Seruk Sadian,TJN021,Seruk Sadian,TJN002,Tanjung Pandan II,TJN002<>TJN021<>TJN002_Ipaso1000_Telkom_100_7240
TJN022,TJN022MG1,Sungai Padang,TJN022,Sungai Padang,TJN045,TJN045MG1_TBG_GunungLangir,TJN045<>TJN022<>TJN045_Ipaso400_Telkom_100_7247
TJN022,TJN022MG1,Sungai Padang,TJN045,TJN045MG1_TBG_GunungLangir,TJN011,Sijuk,TJN011<>TJN045<>TJN011_Ipaso400_Telkomsel_50_7128
TJN022,TJN022MG1,Sungai Padang,TJN011,Sijuk,TJN004,Bukit Brahu,TJN004<>TJN011<>TJN004_IPASO400_TELKOMSEL_50_7955.25
TJN022,TJN022MG1,Sungai Padang,TJN004,Bukit Brahu,TJN002,Tanjung Pandan II,TJN002<>TJN004<>TJN002_IPASO400_TELKOMSEL_150_7687
TJN023,TJN023MG1,Tanjung Kelayang,TJN023,Tanjung Kelayang,TJN004,Bukit Brahu,TJN023<>TJN004_NEOC_TELKOMSEL_40_7470
TJN023,TJN023MG1,Tanjung Kelayang,TJN004,Bukit Brahu,TJN002,Tanjung Pandan II,TJN004<>TJN002_IPASO400_TELKOMSEL_150_7687
TJN024,TJN024MG1,Kembiri,TJN024,Kembiri,TJN010,Membalong,TJN024<>TJN010_IPASO400_Telkom_50_7352
TJN024,TJN024MG1,Kembiri,TJN010,Membalong,TJN008,Pangkal Dudat Rep,TJN010<>TJN008_IPASO400_TELKOMSEL_150_7491
TJN024,TJN024MG1,Kembiri,TJN008,Pangkal Dudat Rep,TJN012,Tanjung Pandan 3,TJN008<>TJN012_IPASO400_TELKOMSEL_150_7603
TJN024,TJN024MG1,Kembiri,TJN012,Tanjung Pandan 3,TJN002,Tanjung Pandan II,TJN012<>TJN002_IPASO400_Telkom_50_12751
TJN025,TJN025MG1,Tanjung Rusa,TJN025,Tanjung Rusa,MGR011,Dendang Belitung,MGR011<>TJN025<>MGR011_IPASO1000_Telkom_100_7456
TJN025,TJN025MG1,Tanjung Rusa,MGR011,Dendang Belitung,TJN010,Membalong,TJN010<>MGR011<>TJN010_Ipaso1000_Telkomsel_100_7484
TJN025,TJN025MG1,Tanjung Rusa,TJN010,Membalong,TJN008,Pangkal Dudat Rep,TJN008<>TJN010<>TJN008_IPASO400_TELKOMSEL_150_7491
TJN025,TJN025MG1,Tanjung Rusa,TJN008,Pangkal Dudat Rep,TJN012,Tanjung Pandan 3,TJN012<>TJN008<>TJN012_IPASO400_TELKOMSEL_150_7603
TJN025,TJN025MG1,Tanjung Rusa,TJN012,Tanjung Pandan 3,TJN002,Tanjung Pandan II,TJN012<>TJN002_IPASO400_TELKOM_150_12751.00
TJN026,TJN026MG1,Mempiu,TJN026,Mempiu,TJN002,Tanjung Pandan II,TJN026<>TJN002_IPASO400_TELKOMSEL_50_7296
TJN027,TJN027MG1,Kacang Butor,TJN027,Kacang Butor,TJN020,Sungai Selan,TJN027<>TJN020_IPASO400_TELKOMSEL_150_7754
TJN027,TJN027MG1,Kacang Butor,TJN020,Sungai Selan,TJN002,Tanjung Pandan II,TJN020<>TJN002_IPASO400_TELKOMSEL_150_7498
TJN028,TJN028MG1,Cendil,TJN028,Cendil,MGR004,Buding,MGR004<>TJN028<>MGR004_Ipaso1000_Telkom_100_7442
TJN028,TJN028MG1,Cendil,MGR004,Buding,TJN016,Pelepat Putih,TJN016<>MGR004<>TJN016_IPASO400_TELKOMSEL_150_7135
TJN028,TJN028MG1,Cendil,TJN016,Pelepat Putih,TJN011,Sijuk,TJN011<>TJN016<>TJN011_IPASO400_TELKOMSEL_150_7732.875
TJN028,TJN028MG1,Cendil,TJN011,Sijuk,TJN004,Bukit Brahu,TJN004<>TJN011<>TJN004_IPASO400_TELKOMSEL_50_7955.25
TJN028,TJN028MG1,Cendil,TJN004,Bukit Brahu,TJN002,Tanjung Pandan II,TJN002<>TJN004<>TJN002_IPASO400_TELKOMSEL_150_7687
TJN030,TJN030MG1,Dukong,TJN030,Dukong,TJN002,Tanjung Pandan II,TJN030<>TJN002_MetroE_Telkom_100_GPON(821)
TJN031,TJN031MG1,Pegantungan,TJN031,Pegantungan,TJN020,Sungai Samak,TJN031<>TJN020_Ipaso400_Telkom_100_7659
TJN031,TJN031MG1,Pegantungan,TJN020,Sungai Samak,TJN002,Tanjung Pandan II,TJN020<>TJN002_IPASO400_TELKOMSEL_150_7498
TJN032,TJN032MG1,Batu Hitam,TJN032,Batu Hitam,TJN002,Tanjung Pandan II,TJN032<>TJN002_NEOC_Telkomsel_40_15243
TJN032,TJN032MG1,Batu Hitam,TJN012,Tanjung Pandan 3,TJN002,Tanjung Pandan II,TJN012<>TJN002_IPASO400_Telkom_50_12751
TJN033,TJN033MG1,Mengkubang,TJN033,Mengkubang,MGR025,Sukamandi,TJN033<>MGR025_NEOC_TELKOMSEL_40_7526
TJN033,TJN033MG1,Mengkubang,MGR025,Sukamandi,MGR001,Manggar,MGR025<>MGR001_Ipaso200_TELKOMSEL_50_7191
TJN033,TJN033MG1,Mengkubang,MGR001,Manggar,MGR018,Air Kelik,MGR001<>MGR018_IPASO400_TELKOMSEL_50_7491
TJN033,TJN033MG1,Mengkubang,MGR018,Air Kelik,MGR002,Kelapa Kampit,MGR018<>MGR002_Ipaso400_Telkom_50_7352
