id;SITE_ID;SysID;SiteName;NE_ID;NE_Name;FE_ID;FE_Name;HOP_ID_ DETAIL
1;MGR001;MGR001MD1;Manggar;MGR001;Manggar;MGR003;Gantung;MGR001<>MGR003_IPASO400_TELKOMSEL_150_7687
2;MGR001;MGR001MD1;Manggar;MGR003;Gantung;MGR012;Tanjung Batu Itam;MGR003<>MGR012_IPASO400_TELKOMSEL_100_7554
3;MGR001;MGR001MD1;Manggar;MGR012;Tanjung Batu Itam;MGR011;Dendang Belitung;MGR012<>MGR011_IPASO1000_TELKOMSEL_100_7526
4;MGR001;MGR001MD1;Manggar;MGR011;Dendang Belitung;TJN010;Membalong;MGR011<>TJN010_IPASO1000_TELKOMSEL_150_7484
5;MGR001;MGR001MD1;Manggar;TJN010;Membalong;TJN008;Pangkal Dudat Rep;TJN010<>TJN008_IPASO400_TELKOMSEL_150_7491
6;MGR001;MGR001MD1;Manggar;TJN008;Pangkal Dudat Rep;TJN012;Tanjung Pandan 3;TJN008<>TJN012_IPASO400_TELKOMSEL_150_76031
7;MGR001;MGR001MD1;Manggar;TJN012;Tanjung Pandan 3;TJN002;Tanjung Pandan II;TJN012<>TJN002_IPASO400_TELKOMSEL_50_12751
8;MGR002;MGR002MD1;Kelapa Kampit;MGR002;MGR002MD1_TSEL_KelapaKampit;MGR004;Buding;MGR002<>MGR004_MLTN_TELKOMSEL_200_7512
9;MGR002;MGR002MD1;Kelapa Kampit;MGR004;Buding;TJN027;Kacang Butor;MGR004<>TJN027_IPASO400_TELKOMSEL_150_7603
10;MGR002;MGR002MD1;Kelapa Kampit;TJN027;Kacang Butor;TJN020;Sungai Samak;TJN027<>TJN020_IPASO400_TELKOMSEL_150_7554
11;MGR002;MGR002MD1;Kelapa Kampit;TJN020;Sungai Samak;TJN002;Tanjung Pandan II;TJN020<>TJN002_IPASO400_TELKOMSEL_150_7498
12;MGR003;MGR003MD1;Gantung;MGR003;Gantung;MGR012;Tanjung Batu Itam;MGR003<>MGR012_IPASO400_TELKOMSEL_100_7554
13;MGR003;MGR003MD1;Gantung;MGR012;Tanjung Batu Itam;MGR011;Dendang Belitung;MGR012<>MGR011_IPASO1000_TELKOMSEL_100_7526
14;MGR003;MGR003MD1;Gantung;MGR011;Dendang Belitung;TJN010;Membalong;MGR011<>TJN010_IPASO1000_TELKOMSEL_150_7484
15;MGR003;MGR003MD1;Gantung;TJN010;Membalong;TJN008;Pangkal Dudat Rep;TJN010<>TJN008_IPASO400_TELKOMSEL_150_7491
16;MGR003;MGR003MD1;Gantung;TJN008;Pangkal Dudat Rep;TJN012;Tanjung Pandan 3;TJN008<>TJN012_IPASO400_TELKOMSEL_150_76031
17;MGR003;MGR003MD1;Gantung;TJN012;Tanjung Pandan 3;TJN002;Tanjung Pandan II;TJN012<>TJN002_IPASO400_TELKOMSEL_50_12751
18;MGR004;MGR004MG1;Buding;MGR004;Buding;TJN027;Kacang Butor;MGR004<>TJN027_IPASO400_TELKOMSEL_150_7603
19;MGR004;MGR004MG1;Buding;TJN027;Kacang Butor;TJN020;Sungai Samak;TJN027<>TJN020_IPASO400_TELKOMSEL_150_7554
20;MGR004;MGR004MG1;Buding;TJN020;Sungai Samak;TJN002;Tanjung Pandan II;TJN020<>TJN002_IPASO400_TELKOMSEL_150_7498
21;MGR007;MGR007MG1;Perumahan Mempaya;MGR007;Perumahan Mempaya;MGR025;Sukamandi;MGR007<>MGR025_IPASO1000_TELKOM_100_7742
22;MGR007;MGR007MG1;Perumahan Mempaya;MGR025;Sukamandi;MGR001;Manggar;MGR025<>MGR001_IPASO400_TELKOMSEL_50_7191
23;MGR007;MGR007MG1;Perumahan Mempaya;MGR001;Manggar;MGR018;Air Kelik;MGR001<>MGR018_IPASO400_TELKOMSEL_100_7491
24;MGR007;MGR007MG1;Perumahan Mempaya;MGR018;Air Kelik;MGR002;Kelapa Kampit;MGR018<>MGR002_MLTN_TELKOMSEL_200_7652
25;MGR007;MGR007MG1;Perumahan Mempaya;MGR002;Kelapa Kampit;MGR004;Buding;MGR002<>MGR004_MLTN_TELKOMSEL_200_7512
26;MGR007;MGR007MG1;Perumahan Mempaya;MGR004;Buding;TJN027;Kacang Butor;MGR004<>TJN027_IPASO400_TELKOMSEL_150_7603
27;MGR007;MGR007MG1;Perumahan Mempaya;TJN027;Kacang Butor;TJN020;Sungai Samak;TJN027<>TJN020_IPASO400_TELKOMSEL_150_7554
28;MGR007;MGR007MG1;Perumahan Mempaya;TJN020;Sungai Samak;TJN002;Tanjung Pandan II;TJN020<>TJN002_IPASO400_TELKOMSEL_150_7498
29;MGR008;MGR008MG1;MGR008MG1_TSEL_JangkarAsam;MGR008;MGR008MG1_TSEL_JangkarAsam;MGR003;Gantung;MGR008<>MGR003_IPASO400_TELKOMSEL_50_7498
30;MGR008;MGR008MG1;MGR008MG1_TSEL_JangkarAsam;MGR003;Gantung;MGR012;Tanjung Batu Itam;MGR003<>MGR012_IPASO400_TELKOMSEL_100_7554
31;MGR008;MGR008MG1;MGR008MG1_TSEL_JangkarAsam;MGR012;Tanjung Batu Itam;MGR011;Dendang Belitung;MGR012<>MGR011_IPASO1000_TELKOMSEL_100_7526
32;MGR008;MGR008MG1;MGR008MG1_TSEL_JangkarAsam;MGR011;Dendang Belitung;TJN010;Membalong;MGR011<>TJN010_IPASO1000_TELKOMSEL_150_7484
33;MGR008;MGR008MG1;MGR008MG1_TSEL_JangkarAsam;TJN010;Membalong;TJN008;Pangkal Dudat Rep;TJN010<>TJN008_IPASO400_TELKOMSEL_150_7491
34;MGR008;MGR008MG1;MGR008MG1_TSEL_JangkarAsam;TJN008;Pangkal Dudat Rep;TJN012;Tanjung Pandan 3;TJN008<>TJN012_IPASO400_TELKOMSEL_150_76031
35;MGR008;MGR008MG1;MGR008MG1_TSEL_JangkarAsam;TJN012;Tanjung Pandan 3;TJN002;Tanjung Pandan II;TJN012<>TJN002_IPASO400_TELKOMSEL_50_12751
36;MGR009;MGR009MG1;MGR009MG1_TSEL_Jangkang;MGR009;MGR009MG1_TSEL_Jangkang;MGR011;Dendang Belitung;MGR009<>MGR011_IPASO200_TELKOM_50_7247
37;MGR009;MGR009MG1;MGR009MG1_TSEL_Jangkang;MGR011;Dendang Belitung;TJN010;Membalong;MGR011<>TJN010_IPASO1000_TELKOMSEL_150_7484
38;MGR009;MGR009MG1;MGR009MG1_TSEL_Jangkang;TJN010;Membalong;TJN008;Pangkal Dudat Rep;TJN010<>TJN008_IPASO400_TELKOMSEL_150_7491
39;MGR009;MGR009MG1;MGR009MG1_TSEL_Jangkang;TJN008;Pangkal Dudat Rep;TJN012;Tanjung Pandan 3;TJN008<>TJN012_IPASO400_TELKOMSEL_150_76031
40;MGR009;MGR009MG1;MGR009MG1_TSEL_Jangkang;TJN012;Tanjung Pandan 3;TJN002;Tanjung Pandan II;TJN012<>TJN002_IPASO400_TELKOMSEL_50_12751
41;MGR010;MGR010MG1;MGR010MG1_TSEL_Kelubi;MGR010;MGR010MG1_TSEL_Kelubi;MGR001;Manggar;MGR010<>MGR001_IPASO400_TELKOMSEL_50_7470
