Site ID,Site Name,Longitude,Latitude
BDL323,SUKADANAHAN 3,105.223,-5.4216
BDL324,KEDAUNG BDL,105.21,-5.40876
BDL325,WAY PANAS NATAR,105.192,-5.30129
BDL326,TANJUNG GADING 2 BDL,105.277,-5.42638
BDL331,MASTER MAGISTER UBL,105.246,-5.37411
BDL332,GUNUNG KUNYIT BDL,105.292,-5.44425
BDL334,SUDIRMAN BDL,105.263,-5.42259
BDL335,OPTIK INTERNATIONAL BDL,105.259,-5.41416
BDL336,GATOT SUBROTO BDL,105.28,-5.43442
BDL337,BUKIT KENCANA BDL,105.286,-5.39461
BDL338,URIP SUMOHARJO 2 BDL,105.277,-5.391
BDL339,DIPONEGORO 3 BDL,105.26,-5.42795
BDL341,PERUMAHAN SPRINGHILL BDL,105.211,-5.38416
BDL342,SULTAN AGUNG,105.267,-5.38109
BDL343,SULTAN AGUNG 2 BDL,105.259,-5.37815
BDL344,STADION PAHOMAN BDL,105.27,-5.42713
BDL345,WAY NGISON BDL,105.274,-5.43238
BDL346,TANJUNG RAYA BDL,105.275,-5.42091
BDL347,ANTASARI 3 BDL,105.28,-5.40454
BDL348,PLAZA MILENIUM,105.259,-5.419
BDL349,WAY HALIM 2 RELOC,105.275,-5.37726
BDL350,KONI BDL,105.279,-5.37929
BDL352,RYACUDU BDL,105.296,-5.37469
BDL353,TIRTAYASA 3,105.3,-5.396
BDL355,JAGABAYA 2,105.274,-5.39648
BDL356,MOROTAI 2,105.28,-5.39681
BDL357,SUKABUMI INDAH,105.3,-5.4009
BDL358,HOTEL POP LAMPUNG,105.251,-5.42459
BDL360,MALL BOEMI KEDATON,105.259,-5.38234
BDL361,PALAPA X BDL,105.247,-5.41293
BDL362,SUKABUMI INDAH BDL,105.294,-5.402
BDL363,RIDWAN RAIS 3,105.281,-5.41783
BDL364,RATU DIBALAU II,105.28,-5.36
BDL365,CENDANA BASRI II,105.273,-5.36131
BDL368,LABUHAN RATU III,105.251,-5.3761
BDL370,KEDAMAIAN 2,105.286,-5.4086
BDL371,PASIR GINTUNG II,105.268,-5.39708
BDL378,TALANG 2,105.253,-5.45271
BDL379,TANJUNGJATI 3,105.253,-5.453
BDL382,PLAZA CHANDRA 2,105.263,-5.414
BDL383,PASAR TUGU 2,105.269,-5.4057
BDL384,KALIAWI 2,105.247,-5.41293
BDL387,GRIYA SEJAHTERA 3,105.241,-5.39153
BDL388,TEUKU CIK DITIRO 2,105.211,-5.3927
BDL389,TUPAI 2 BDL,105.251,-5.39
BDL390,RAJA RATU 2,105.265,-5.37333
BDL391,KIMAJA 4,105.268,-5.37654
BDL392,PERUMAHAN DOSEN UNILA,105.246,-5.3713
BDL393,GEDONG MENENG 2,105.238,-5.37484
BDL394,RATU DIBALAU III,105.279,-5.36149
BDL395,PERUM IMAM BONJOL,105.218,-5.395
BDL396,TEUKU CIK DITIRO 3,105.204,-5.394
BDL397,PERUM BTN III,105.281,-5.38637
BDL398,BUMI MANTI II,105.242,-5.37387
BDL399,GOLDEN COMUNICATION,105.261,-5.39884
BDL401,JATI MULYO II,105.29,-5.35124
BDL403,HAJIMENA 2,105.23,-5.36041
BDL404,ZAENALABIDIN BDL,105.233,-5.367
BDL405,MESJID VILLA CITRA,105.274,-5.40253
BDL406,POLE REKTORAT UNILA,105.243,-5.36395
BDL407,POLE FAK MIPAUNILAH,105.244,-5.36626
BDL408,JALAN PEMUDABDL,105.261,-5.41198
BDL413,Tanjung Gading MCP,105.269,-5.43977
BDL414,Basuki Rahmat MCP1,105.255,-5.4416
BDL416,Way Kandis MCP 2,105.287,-5.38571
BDL417,Way Kandis MCP 3,105.287,-5.38571
BDL418,Way Kandis,105.271,-5.37464
BDL419,C_BDL419MW1_TBG_WayKandisMCP5,105.278,-5.37417
BDL420,C_BDL420MW1_TBG_PecohRayaMCP1,105.27,-5.44729
BIN001,KAUR,103.35,-4.79181
BIN002,PADANG GUCI,103.183,-4.60528
BIN003,NASAL,103.505,-4.87327
BIN004,TANJUNG IMAN,103.299,-4.70356
BIN005,MAJE,103.429,-4.86097
BIN006,SULAU,103.096,-4.56292
BIN007,KELAM TENGAH,103.21,-4.56019
BIN008,PADANG GUCI ULU,103.234,-4.4965
BIN009,SEMIDANG GUMAI,103.251,-4.67214
BIN010,MUARA TETAP,103.32,-4.75317
BIN011,MERPAS,103.536,-4.91103
BIN012,TANJUNG BULAN KAUR,103.13,-4.57627
BIN013,LUAS KAUR,103.319,-4.65888
BIN014,MUARA SAUNG,103.359,-4.53424
BIN015,ULAK BANDUNG,103.388,-4.52494
BIN016,MUARA SAMBAT,103.398,-4.80531
BIN017,BERINGIN MAJE,103.465,-4.86001
BIN018,GUNUNG TIGA KAUR,103.266,-4.66604
BIN019,PEMDA KAUR,103.347,-4.76187
BIN020,KINAL,103.233,-4.64424
BIN022,SIMPANG TIGA KAUR,103.216,-4.51022
BIN023,TANJUNG BESAR KAUR,103.367,-4.79505
BIN024,PANTAI LINAU,103.412,-4.83193
BIN025,C_BIN025MB1_DMT_Kinal2,103.251,-4.55801
BKL001,STO BENGKULU CENTRUM,102.266,-3.79611
BKL002,STO PAGAR DEWA,102.322,-3.84375
BKL003,PADANG HARAPAN,102.293,-3.82708
