BDL003,KEDATON LAMPUNG,105.263,-5.37794
BDL004,TELUK BETUNG 1,105.269,-5.44437
BDL005,PALAPA,105.25,-5.42614
BDL006,SUKARAME,105.292,-5.38421
BDL007,SUKADANAHAN,105.219,-5.40833
BDL008,RRI LAMPUNG,105.272,-5.42458
BDL009,TELUK BETUNG 2,105.298,-5.44092
BDL010,PASAR TUGU,105.267,-5.40886
BDL012,GRAPARI LAMPUNG,105.276,-5.40597
BDL013,KOGA,105.251,-5.39931
BDL015,KOTA KARANG,105.25,-5.45928
BDL016,KAMPUNG BARU,105.255,-5.35656
BDL017,KEDAMAIAN,105.288,-5.41224
BDL018,WAY HALIM,105.272,-5.38864
BDL019,TANJUNG SENANG,105.268,-5.36856
BDL020,TANJUNG GADING,105.279,-5.43094
BDL021,KALIBALOK,105.289,-5.39906
BDL022,LABUHAN RATU,105.242,-5.37721
BDL023,PASIR GINTUNG,105.264,-5.39464
BDL024,LANGKAPURA,105.205,-5.38717
BDL025,MALL KARTINI,105.253,-5.41667
BDL026,PLAZA CHANDRA,105.261,-5.41183
BDL027,PENGAJARAN,105.256,-5.43861
BDL030,TELUK BETUNG 3,105.262,-5.45142
BDL031,KAMPUNG BARU 2,105.246,-5.36297
BDL032,PALAPA 3,105.225,-5.38894
BDL033,SIMPUR CENTER,105.258,-5.4128
BDL035,PLAZA MILENIUM ID,105.259,-5.41859
BDL037,SUKARAJA LAMPUNG,105.278,-5.44236
BDL038,TTC LAMPUNG,105.264,-5.42694
BDL039,PERUMNAS LANGKAPURA,105.201,-5.40478
BDL040,KALIAWI,105.243,-5.41342
BDL041,PRAMUKA,105.22,-5.37694
BDL042,CIPTO MANGUNKUSUMO,105.269,-5.43581
BDL043,BUMI KEDATON,105.224,-5.43558
BDL048,PANGERAN MANGKUBUMI,105.238,-5.39511
BDL049,UNILA,105.242,-5.37075
BDL050,PULAU DAMAR,105.29,-5.37122
BDL051,PASAR KOGA,105.263,-5.38706
BDL052,URIP SUMOHARJO,105.282,-5.39053
BDL053,TAMAN GADING JAYA,105.275,-5.41439
BDL055,LAPANGAN SABURAI,105.261,-5.41982
BDL056,KOTA SPANG,105.255,-5.37211
BDL057,GUNUNG TERANG BANDAR LAMPUNG,105.233,-5.38461
BDL058,PERUM DAMRI,105.235,-5.36069
